,"lej17,plastikowe,500"
0,79.11
1,34.28
2,27.0
3,21.25
4,150.0
5,7.73
6,150.0
7,2.3
8,150.0
9,4.56
10,8.7
11,24.21
12,11.06
13,40.98
14,5.89
15,150.0
16,150.0
17,150.0
18,40.9
19,27.8
20,36.4
21,6.57
22,30.19
23,5.49
24,2.87
25,150.0
26,26.76
27,150.0
28,42.0
29,4.23
30,17.31
31,150.0
32,53.5
33,43.62
34,6.02
35,39.97
36,76.18
37,4.05
38,39.2
39,25.73
40,19.92
41,9.07
42,3.74
43,42.9
44,43.37
45,43.55
46,150.0
47,20.27
48,14.86
49,37.16
50,25.23
51,23.42
52,15.82
53,35.68
54,63.85
55,52.42
56,2.36
57,12.4
58,25.9
59,11.87
60,8.54
61,150.0
62,16.6
63,17.76
64,13.78
65,4.0
66,14.36
67,60.0
68,85.77
69,46.05
70,2.12
71,12.17
72,18.39
73,11.55
74,2.35
75,3.4
76,70.3
77,2.9
78,16.02
79,150.0
80,28.1
81,150.0
82,64.7
83,42.25
84,2.25
85,150.0
86,19.13
87,30.82
88,67.95
89,43.03
90,49.48
91,3.86
92,150.0
93,12.9
94,36.4
95,8.87
96,77.28
97,19.0
98,150.0
99,12.29
100,150.0
101,150.0
102,16.94
103,15.64
104,3.1
105,8.71
106,58.2
